ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140362610, src0 = 0x1403624a0
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140369a80, src0 = 0x140369910
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
ggml_compute_forward_argsort: src0->ne[0] = 128, dst->ne[0] = 128, dst = 0x140370ef0, src0 = 0x140370d80
